"Town","FIPS","Year","Grade","MeasureType","Variable","Value"
"Brooklyn","0901509190",2008,"2","Percent","Students absent 20 or more days",3.3
"Burlington","0900310100",2008,"2","Percent","Students absent 20 or more days",0.5
"Canaan","0900510940",2008,"2","Percent","Students absent 20 or more days",12.5
"Canterbury","0901512130",2008,"2","Percent","Students absent 20 or more days",1.8
"Canton","0900312270",2008,"2","Percent","Students absent 20 or more days",3.1
"Chaplin","0901513810",2008,"2","Percent","Students absent 20 or more days",0
"Cheshire","0900914160",2008,"2","Percent","Students absent 20 or more days",3.5
"Chester","0900714300",2008,"2","Percent","Students absent 20 or more days",7.7
"Clinton","0900715350",2008,"2","Percent","Students absent 20 or more days",9.5
"Colchester","0901115910",2008,"2","Percent","Students absent 20 or more days",2.5
"Colebrook","0900516050",2008,"2","Percent","Students absent 20 or more days",0
"Columbia","0901316400",2008,"2","Percent","Students absent 20 or more days",1.6
"Cornwall","0900517240",2008,"2","Percent","Students absent 20 or more days",8.3
"Coventry","0901317800",2008,"2","Percent","Students absent 20 or more days",3.3
"Cromwell","0900718080",2008,"2","Percent","Students absent 20 or more days",10.7
"Danbury","0900118500",2008,"2","Percent","Students absent 20 or more days",4.4
"Darien","0900118850",2008,"2","Percent","Students absent 20 or more days",1.7
"Deep River","0900719130",2008,"2","Percent","Students absent 20 or more days",0
"Derby","0900919550",2008,"2","Percent","Students absent 20 or more days",9.7
"Durham","0900720810",2008,"2","Percent","Students absent 20 or more days",0.7
"East Granby","0900322070",2008,"2","Percent","Students absent 20 or more days",1.4
"East Haddam","0900722280",2008,"2","Percent","Students absent 20 or more days",4.5
"East Hampton","0900722490",2008,"2","Percent","Students absent 20 or more days",3.9
"East Hartford","0900322630",2008,"2","Percent","Students absent 20 or more days",12.1
"East Haven","0900922910",2008,"2","Percent","Students absent 20 or more days",6
"East Lyme","0901123400",2008,"2","Percent","Students absent 20 or more days",2
"East Windsor","0900324800",2008,"2","Percent","Students absent 20 or more days",3.1
"Eastford","0901521860",2008,"2","Percent","Students absent 20 or more days",5
"Easton","0900123890",2008,"2","Percent","Students absent 20 or more days",4
"Ellington","0901325360",2008,"2","Percent","Students absent 20 or more days",1
"Enfield","0900325990",2008,"2","Percent","Students absent 20 or more days",5.3
"Essex","0900726270",2008,"2","Percent","Students absent 20 or more days",2.2
"Fairfield","0900126620",2008,"2","Percent","Students absent 20 or more days",2.9
"Farmington","0900327600",2008,"2","Percent","Students absent 20 or more days",2.7
"Franklin","0901129910",2008,"2","Percent","Students absent 20 or more days",0
"Glastonbury","0900331240",2008,"2","Percent","Students absent 20 or more days",1.4
"Granby","0900332640",2008,"2","Percent","Students absent 20 or more days",0.6
"Greenwich","0900133620",2008,"2","Percent","Students absent 20 or more days",4.3
"Griswold","0901133900",2008,"2","Percent","Students absent 20 or more days",2
"Groton","0901134250",2008,"2","Percent","Students absent 20 or more days",3.1
"Guilford","0900934950",2008,"2","Percent","Students absent 20 or more days",3
"Haddam","0900735230",2008,"2","Percent","Students absent 20 or more days",3.5
"Hamden","0900935650",2008,"2","Percent","Students absent 20 or more days",3.6
"Hampton","0901536000",2008,"2","Percent","Students absent 20 or more days",0
"Hartford","0900337070",2008,"2","Percent","Students absent 20 or more days",13.1
"Hartland","0900337140",2008,"2","Percent","Students absent 20 or more days",5
"Harwinton","0900537280",2008,"2","Percent","Students absent 20 or more days",0.5
"Hebron","0901337910",2008,"2","Percent","Students absent 20 or more days",0.6
"Kent","0900540290",2008,"2","Percent","Students absent 20 or more days",17.2
"Killingly","0901540500",2008,"2","Percent","Students absent 20 or more days",8.9
"Killingworth","0900740710",2008,"2","Percent","Students absent 20 or more days",3.5
"Lebanon","0901142390",2008,"2","Percent","Students absent 20 or more days",0
"Ledyard","0901142600",2008,"2","Percent","Students absent 20 or more days",4.8
"Lisbon","0901143230",2008,"2","Percent","Students absent 20 or more days",2.2
"Litchfield","0900543370",2008,"2","Percent","Students absent 20 or more days",6
"Lyme","0901144210",2008,"2","Percent","Students absent 20 or more days",19.4
"Madison","0900944560",2008,"2","Percent","Students absent 20 or more days",2.5
"Manchester","0900344700",2008,"2","Percent","Students absent 20 or more days",5.9
"Mansfield","0901344910",2008,"2","Percent","Students absent 20 or more days",2.3
"Marlborough","0900345820",2008,"2","Percent","Students absent 20 or more days",3.3
"Meriden","0900946520",2008,"2","Percent","Students absent 20 or more days",3
"Middlebury","0900946940",2008,"2","Percent","Students absent 20 or more days",2.8
"Middlefield","0900747080",2008,"2","Percent","Students absent 20 or more days",0.7
"Middletown","0900747360",2008,"2","Percent","Students absent 20 or more days",6.5
"Milford","0900947535",2008,"2","Percent","Students absent 20 or more days",1.6
"Monroe","0900148620",2008,"2","Percent","Students absent 20 or more days",1.6
"Montville","0901148900",2008,"2","Percent","Students absent 20 or more days",0.5
"Naugatuck","0900949950",2008,"2","Percent","Students absent 20 or more days",6.6
"New Britain","0900350440",2008,"2","Percent","Students absent 20 or more days",9.7
"New Canaan","0900150580",2008,"2","Percent","Students absent 20 or more days",3.3
"New Fairfield","0900150860",2008,"2","Percent","Students absent 20 or more days",3.4
"New Hartford","0900551350",2008,"2","Percent","Students absent 20 or more days",1.2
"New Haven","0900952070",2008,"2","Percent","Students absent 20 or more days",14.6
"New London","0901152350",2008,"2","Percent","Students absent 20 or more days",13
"New Milford","0900552630",2008,"2","Percent","Students absent 20 or more days",3.2
"Newington","0900352140",2008,"2","Percent","Students absent 20 or more days",2.7
"Newtown","0900152980",2008,"2","Percent","Students absent 20 or more days",2.2
"Norfolk","0900553470",2008,"2","Percent","Students absent 20 or more days",0
"North Branford","0900953890",2008,"2","Percent","Students absent 20 or more days",4.8
"North Canaan","0900554030",2008,"2","Percent","Students absent 20 or more days",3.2
"North Haven","0900954870",2008,"2","Percent","Students absent 20 or more days",3.8
"North Stonington","0901155500",2008,"2","Percent","Students absent 20 or more days",7.7
"Norwalk","0900156060",2008,"2","Percent","Students absent 20 or more days",2.9
"Norwich","0901156270",2008,"2","Percent","Students absent 20 or more days",7.8
"Old Lyme","0901157040",2008,"2","Percent","Students absent 20 or more days",19.4
"Old Saybrook","0900757320",2008,"2","Percent","Students absent 20 or more days",3.2
"Orange","0900957600",2008,"2","Percent","Students absent 20 or more days",0.6
"Oxford","0900958300",2008,"2","Percent","Students absent 20 or more days",4.3
"Plainfield","0901559980",2008,"2","Percent","Students absent 20 or more days",1
"Plainville","0900360120",2008,"2","Percent","Students absent 20 or more days",0
"Plymouth","0900560750",2008,"2","Percent","Students absent 20 or more days",0
"Pomfret","0901561030",2008,"2","Percent","Students absent 20 or more days",0
"Portland","0900761800",2008,"2","Percent","Students absent 20 or more days",0.8
"Preston","0901162150",2008,"2","Percent","Students absent 20 or more days",1.9
"Prospect","0900962290",2008,"2","Percent","Students absent 20 or more days",1.7
"Putnam","0901562710",2008,"2","Percent","Students absent 20 or more days",10.4
"Redding","0900163480",2008,"2","Percent","Students absent 20 or more days",5.1
"Ridgefield","0900163970",2008,"2","Percent","Students absent 20 or more days",6
"Rocky Hill","0900365370",2008,"2","Percent","Students absent 20 or more days",4
"Roxbury","0900565930",2008,"2","Percent","Students absent 20 or more days",6.6
"Salem","0901166210",2008,"2","Percent","Students absent 20 or more days",0
"Salisbury","0900566420",2008,"2","Percent","Students absent 20 or more days",10.8
"Scotland","0901567400",2008,"2","Percent","Students absent 20 or more days",0
"Seymour","0900967610",2008,"2","Percent","Students absent 20 or more days",2.1
"Sharon","0900567960",2008,"2","Percent","Students absent 20 or more days",15
"Shelton","0900168170",2008,"2","Percent","Students absent 20 or more days",3.6
"Sherman","0900168310",2008,"2","Percent","Students absent 20 or more days",0
"Simsbury","0900368940",2008,"2","Percent","Students absent 20 or more days",1.9
"Somers","0901369220",2008,"2","Percent","Students absent 20 or more days",3.6
"South Windsor","0900371390",2008,"2","Percent","Students absent 20 or more days",12.1
"Southbury","0900969640",2008,"2","Percent","Students absent 20 or more days",2.8
"Southington","0900370550",2008,"2","Percent","Students absent 20 or more days",1.4
"Sprague","0901171670",2008,"2","Percent","Students absent 20 or more days",2.9
"Stafford","0901372090",2008,"2","Percent","Students absent 20 or more days",3.7
"Stamford","0900173070",2008,"2","Percent","Students absent 20 or more days",7.7
"Sterling","0901573420",2008,"2","Percent","Students absent 20 or more days",2
"Stonington","0901173770",2008,"2","Percent","Students absent 20 or more days",2.7
"Stratford","0900174190",2008,"2","Percent","Students absent 20 or more days",6.3
"Suffield","0900374540",2008,"2","Percent","Students absent 20 or more days",3.7
"Thomaston","0900575730",2008,"2","Percent","Students absent 20 or more days",2.3
"Thompson","0901575870",2008,"2","Percent","Students absent 20 or more days",6.5
"Tolland","0901376290",2008,"2","Percent","Students absent 20 or more days",1.2
"Torrington","0900576570",2008,"2","Percent","Students absent 20 or more days",5
"Trumbull","0900177200",2008,"2","Percent","Students absent 20 or more days",0
"Union","0901377830",2008,"2","Percent","Students absent 20 or more days",0
"Vernon","0901378250",2008,"2","Percent","Students absent 20 or more days",4.5
"Voluntown","0901178600",2008,"2","Percent","Students absent 20 or more days",3.8
"Wallingford","0900978740",2008,"2","Percent","Students absent 20 or more days",8.9
"Washington","0900579720",2008,"2","Percent","Students absent 20 or more days",6.6
"Waterbury","0900980070",2008,"2","Percent","Students absent 20 or more days",4.1
"Waterford","0901180280",2008,"2","Percent","Students absent 20 or more days",1.9
"Watertown","0900580490",2008,"2","Percent","Students absent 20 or more days",2.6
"West Hartford","0900382590",2008,"2","Percent","Students absent 20 or more days",2.6
"West Haven","0900982870",2008,"2","Percent","Students absent 20 or more days",8.9
"Westbrook","0900781680",2008,"2","Percent","Students absent 20 or more days",1.1
"Weston","0900183430",2008,"2","Percent","Students absent 20 or more days",5.2
"Westport","0900183500",2008,"2","Percent","Students absent 20 or more days",3
"Wethersfield","0900384900",2008,"2","Percent","Students absent 20 or more days",2.1
"Willington","0901385950",2008,"2","Percent","Students absent 20 or more days",1.5
"Wilton","0900186370",2008,"2","Percent","Students absent 20 or more days",2.2
"Winchester","0900586440",2008,"2","Percent","Students absent 20 or more days",5.6
"Windham","0901586790",2008,"2","Percent","Students absent 20 or more days",5
"Windsor","0900387000",2008,"2","Percent","Students absent 20 or more days",2.5
"Windsor Locks","0900387070",2008,"2","Percent","Students absent 20 or more days",6
"Wolcott","0900987560",2008,"2","Percent","Students absent 20 or more days",1.1
"Woodbridge","0900987700",2008,"2","Percent","Students absent 20 or more days",2.9
"Woodbury","0900587910",2008,"2","Percent","Students absent 20 or more days",9.9
"Woodstock","0901588190",2008,"2","Percent","Students absent 20 or more days",3.2
"Andover","0901301080",2009,"2","Percent","Students absent 20 or more days",0
"Ansonia","0900901220",2009,"2","Percent","Students absent 20 or more days",4.9
"Ashford","0901501430",2009,"2","Percent","Students absent 20 or more days",0
"Avon","0900302060",2009,"2","Percent","Students absent 20 or more days",3.3
"Barkhamsted","0900502760",2009,"2","Percent","Students absent 20 or more days",3.9
"Beacon Falls","0900903250",2009,"2","Percent","Students absent 20 or more days",4.7
"Berlin","0900304300",2009,"2","Percent","Students absent 20 or more days",1.3
"Bethany","0900904580",2009,"2","Percent","Students absent 20 or more days",0
"Bethel","0900104720",2009,"2","Percent","Students absent 20 or more days",1.7
"Bethlehem","0900504930",2009,"2","Percent","Students absent 20 or more days",7.7
"Bloomfield","0900305910",2009,"2","Percent","Students absent 20 or more days",1.2
"Bolton","0901306260",2009,"2","Percent","Students absent 20 or more days",5.5
"Bozrah","0901106820",2009,"2","Percent","Students absent 20 or more days",8.7
"Branford","0900907310",2009,"2","Percent","Students absent 20 or more days",3
"Bridgeport","0900108070",2009,"2","Percent","Students absent 20 or more days",12.7
"Bridgewater","0900508210",2009,"2","Percent","Students absent 20 or more days",5.4
"Bristol","0900308490",2009,"2","Percent","Students absent 20 or more days",10.5
"Brookfield","0900108980",2009,"2","Percent","Students absent 20 or more days",17.2
"Brooklyn","0901509190",2009,"2","Percent","Students absent 20 or more days",5.8
"Burlington","0900310100",2009,"2","Percent","Students absent 20 or more days",0.4
"Canaan","0900510940",2009,"2","Percent","Students absent 20 or more days",0
"Canterbury","0901512130",2009,"2","Percent","Students absent 20 or more days",3.2
"Canton","0900312270",2009,"2","Percent","Students absent 20 or more days",3.2
"Chaplin","0901513810",2009,"2","Percent","Students absent 20 or more days",0
"Cheshire","0900914160",2009,"2","Percent","Students absent 20 or more days",2.3
"Chester","0900714300",2009,"2","Percent","Students absent 20 or more days",2.2
"Clinton","0900715350",2009,"2","Percent","Students absent 20 or more days",1.3
"Colchester","0901115910",2009,"2","Percent","Students absent 20 or more days",1.3
"Colebrook","0900516050",2009,"2","Percent","Students absent 20 or more days",5.9
"Columbia","0901316400",2009,"2","Percent","Students absent 20 or more days",3.3
"Cornwall","0900517240",2009,"2","Percent","Students absent 20 or more days",0
"Coventry","0901317800",2009,"2","Percent","Students absent 20 or more days",2.3
"Cromwell","0900718080",2009,"2","Percent","Students absent 20 or more days",8.1
"Danbury","0900118500",2009,"2","Percent","Students absent 20 or more days",3.2
"Darien","0900118850",2009,"2","Percent","Students absent 20 or more days",0.5
"Deep River","0900719130",2009,"2","Percent","Students absent 20 or more days",3.7
"Derby","0900919550",2009,"2","Percent","Students absent 20 or more days",5.4
"Durham","0900720810",2009,"2","Percent","Students absent 20 or more days",1.7
"East Granby","0900322070",2009,"2","Percent","Students absent 20 or more days",1.3
"East Haddam","0900722280",2009,"2","Percent","Students absent 20 or more days",3.3
"East Hampton","0900722490",2009,"2","Percent","Students absent 20 or more days",2
"East Hartford","0900322630",2009,"2","Percent","Students absent 20 or more days",10.1
"East Haven","0900922910",2009,"2","Percent","Students absent 20 or more days",6.6
"East Lyme","0901123400",2009,"2","Percent","Students absent 20 or more days",2
"East Windsor","0900324800",2009,"2","Percent","Students absent 20 or more days",3.7
"Eastford","0901521860",2009,"2","Percent","Students absent 20 or more days",0
"Easton","0900123890",2009,"2","Percent","Students absent 20 or more days",1.6
"Ellington","0901325360",2009,"2","Percent","Students absent 20 or more days",1
"Enfield","0900325990",2009,"2","Percent","Students absent 20 or more days",3.2
"Essex","0900726270",2009,"2","Percent","Students absent 20 or more days",1.3
"Fairfield","0900126620",2009,"2","Percent","Students absent 20 or more days",3.1
"Farmington","0900327600",2009,"2","Percent","Students absent 20 or more days",4
"Franklin","0901129910",2009,"2","Percent","Students absent 20 or more days",0
"Glastonbury","0900331240",2009,"2","Percent","Students absent 20 or more days",1.7
"Granby","0900332640",2009,"2","Percent","Students absent 20 or more days",1.8
"Greenwich","0900133620",2009,"2","Percent","Students absent 20 or more days",4.9
"Griswold","0901133900",2009,"2","Percent","Students absent 20 or more days",2.8
"Groton","0901134250",2009,"2","Percent","Students absent 20 or more days",4.1
"Guilford","0900934950",2009,"2","Percent","Students absent 20 or more days",1.1
"Haddam","0900735230",2009,"2","Percent","Students absent 20 or more days",2.9
"Hamden","0900935650",2009,"2","Percent","Students absent 20 or more days",3.3
"Hampton","0901536000",2009,"2","Percent","Students absent 20 or more days",9.1
"Hartford","0900337070",2009,"2","Percent","Students absent 20 or more days",13.3
"Hartland","0900337140",2009,"2","Percent","Students absent 20 or more days",0
"Harwinton","0900537280",2009,"2","Percent","Students absent 20 or more days",0.4
"Hebron","0901337910",2009,"2","Percent","Students absent 20 or more days",0
"Kent","0900540290",2009,"2","Percent","Students absent 20 or more days",0
"Killingly","0901540500",2009,"2","Percent","Students absent 20 or more days",3.8
"Killingworth","0900740710",2009,"2","Percent","Students absent 20 or more days",2.9
"Lebanon","0901142390",2009,"2","Percent","Students absent 20 or more days",5.1
"Ledyard","0901142600",2009,"2","Percent","Students absent 20 or more days",3.8
"Lisbon","0901143230",2009,"2","Percent","Students absent 20 or more days",5.8
"Litchfield","0900543370",2009,"2","Percent","Students absent 20 or more days",2.6
"Lyme","0901144210",2009,"2","Percent","Students absent 20 or more days",10.5
"Madison","0900944560",2009,"2","Percent","Students absent 20 or more days",0
"Manchester","0900344700",2009,"2","Percent","Students absent 20 or more days",5.6
"Mansfield","0901344910",2009,"2","Percent","Students absent 20 or more days",3
"Marlborough","0900345820",2009,"2","Percent","Students absent 20 or more days",3.1
"Meriden","0900946520",2009,"2","Percent","Students absent 20 or more days",2.8
"Middlebury","0900946940",2009,"2","Percent","Students absent 20 or more days",4.1
"Middlefield","0900747080",2009,"2","Percent","Students absent 20 or more days",1.7
"Middletown","0900747360",2009,"2","Percent","Students absent 20 or more days",5.2
"Milford","0900947535",2009,"2","Percent","Students absent 20 or more days",3.2
"Monroe","0900148620",2009,"2","Percent","Students absent 20 or more days",1.8
"Montville","0901148900",2009,"2","Percent","Students absent 20 or more days",1.5
"Naugatuck","0900949950",2009,"2","Percent","Students absent 20 or more days",5.6
"New Britain","0900350440",2009,"2","Percent","Students absent 20 or more days",9.8
"New Canaan","0900150580",2009,"2","Percent","Students absent 20 or more days",3.9
"New Fairfield","0900150860",2009,"2","Percent","Students absent 20 or more days",3.3
"New Hartford","0900551350",2009,"2","Percent","Students absent 20 or more days",2.4
"New Haven","0900952070",2009,"2","Percent","Students absent 20 or more days",15
"New London","0901152350",2009,"2","Percent","Students absent 20 or more days",16
"New Milford","0900552630",2009,"2","Percent","Students absent 20 or more days",3.2
"Newington","0900352140",2009,"2","Percent","Students absent 20 or more days",1.6
"Newtown","0900152980",2009,"2","Percent","Students absent 20 or more days",2.8
"Norfolk","0900553470",2009,"2","Percent","Students absent 20 or more days",3.6
"North Branford","0900953890",2009,"2","Percent","Students absent 20 or more days",3.6
"North Canaan","0900554030",2009,"2","Percent","Students absent 20 or more days",5.1
"North Haven","0900954870",2009,"2","Percent","Students absent 20 or more days",3.5
"North Stonington","0901155500",2009,"2","Percent","Students absent 20 or more days",1.9
"Norwalk","0900156060",2009,"2","Percent","Students absent 20 or more days",3.7
"Norwich","0901156270",2009,"2","Percent","Students absent 20 or more days",8.6
"Old Lyme","0901157040",2009,"2","Percent","Students absent 20 or more days",10.5
"Old Saybrook","0900757320",2009,"2","Percent","Students absent 20 or more days",2.9
"Orange","0900957600",2009,"2","Percent","Students absent 20 or more days",0
"Oxford","0900958300",2009,"2","Percent","Students absent 20 or more days",4.7
"Plainfield","0901559980",2009,"2","Percent","Students absent 20 or more days",3
"Plainville","0900360120",2009,"2","Percent","Students absent 20 or more days",0.6
"Plymouth","0900560750",2009,"2","Percent","Students absent 20 or more days",5.6
"Pomfret","0901561030",2009,"2","Percent","Students absent 20 or more days",6
"Portland","0900761800",2009,"2","Percent","Students absent 20 or more days",3.2
"Preston","0901162150",2009,"2","Percent","Students absent 20 or more days",2.2
"Prospect","0900962290",2009,"2","Percent","Students absent 20 or more days",4.7
"Putnam","0901562710",2009,"2","Percent","Students absent 20 or more days",3.7
"Redding","0900163480",2009,"2","Percent","Students absent 20 or more days",2.8
"Ridgefield","0900163970",2009,"2","Percent","Students absent 20 or more days",9.6
"Rocky Hill","0900365370",2009,"2","Percent","Students absent 20 or more days",3.9
"Roxbury","0900565930",2009,"2","Percent","Students absent 20 or more days",5.4
"Salem","0901166210",2009,"2","Percent","Students absent 20 or more days",1.8
"Salisbury","0900566420",2009,"2","Percent","Students absent 20 or more days",7.4
"Scotland","0901567400",2009,"2","Percent","Students absent 20 or more days",4.8
"Seymour","0900967610",2009,"2","Percent","Students absent 20 or more days",5
"Sharon","0900567960",2009,"2","Percent","Students absent 20 or more days",3.7
"Shelton","0900168170",2009,"2","Percent","Students absent 20 or more days",3.1
"Sherman","0900168310",2009,"2","Percent","Students absent 20 or more days",1.9
"Simsbury","0900368940",2009,"2","Percent","Students absent 20 or more days",2.8
"Somers","0901369220",2009,"2","Percent","Students absent 20 or more days",4
"South Windsor","0900371390",2009,"2","Percent","Students absent 20 or more days",15.2
"Southbury","0900969640",2009,"2","Percent","Students absent 20 or more days",4.1
"Southington","0900370550",2009,"2","Percent","Students absent 20 or more days",3.1
"Sprague","0901171670",2009,"2","Percent","Students absent 20 or more days",0
"Stafford","0901372090",2009,"2","Percent","Students absent 20 or more days",4.6
"Stamford","0900173070",2009,"2","Percent","Students absent 20 or more days",8.1
"Sterling","0901573420",2009,"2","Percent","Students absent 20 or more days",2.3
"Stonington","0901173770",2009,"2","Percent","Students absent 20 or more days",3.9
"Stratford","0900174190",2009,"2","Percent","Students absent 20 or more days",4.4
"Suffield","0900374540",2009,"2","Percent","Students absent 20 or more days",1.6
"Thomaston","0900575730",2009,"2","Percent","Students absent 20 or more days",2.1
"Thompson","0901575870",2009,"2","Percent","Students absent 20 or more days",2.8
"Tolland","0901376290",2009,"2","Percent","Students absent 20 or more days",0.9
"Torrington","0900576570",2009,"2","Percent","Students absent 20 or more days",7.8
"Trumbull","0900177200",2009,"2","Percent","Students absent 20 or more days",13.1
"Union","0901377830",2009,"2","Percent","Students absent 20 or more days",0
"Vernon","0901378250",2009,"2","Percent","Students absent 20 or more days",3.9
"Voluntown","0901178600",2009,"2","Percent","Students absent 20 or more days",13.8
"Wallingford","0900978740",2009,"2","Percent","Students absent 20 or more days",3.6
"Washington","0900579720",2009,"2","Percent","Students absent 20 or more days",5.4
"Waterbury","0900980070",2009,"2","Percent","Students absent 20 or more days",4.6
"Waterford","0901180280",2009,"2","Percent","Students absent 20 or more days",2.5
"Watertown","0900580490",2009,"2","Percent","Students absent 20 or more days",1.3
"West Hartford","0900382590",2009,"2","Percent","Students absent 20 or more days",2
"West Haven","0900982870",2009,"2","Percent","Students absent 20 or more days",7.6
"Westbrook","0900781680",2009,"2","Percent","Students absent 20 or more days",0
"Weston","0900183430",2009,"2","Percent","Students absent 20 or more days",6.4
"Westport","0900183500",2009,"2","Percent","Students absent 20 or more days",1.4
"Wethersfield","0900384900",2009,"2","Percent","Students absent 20 or more days",3
"Willington","0901385950",2009,"2","Percent","Students absent 20 or more days",2
"Wilton","0900186370",2009,"2","Percent","Students absent 20 or more days",3
"Winchester","0900586440",2009,"2","Percent","Students absent 20 or more days",5.4
"Windham","0901586790",2009,"2","Percent","Students absent 20 or more days",6
"Windsor","0900387000",2009,"2","Percent","Students absent 20 or more days",3.3
"Windsor Locks","0900387070",2009,"2","Percent","Students absent 20 or more days",4.3
"Wolcott","0900987560",2009,"2","Percent","Students absent 20 or more days",1.5
"Woodbridge","0900987700",2009,"2","Percent","Students absent 20 or more days",2
"Woodbury","0900587910",2009,"2","Percent","Students absent 20 or more days",7.7
"Woodstock","0901588190",2009,"2","Percent","Students absent 20 or more days",0
"Andover","0901301080",2010,"2","Percent","Students absent 20 or more days",0
"Ansonia","0900901220",2010,"2","Percent","Students absent 20 or more days",12.38
"Ashford","0901501430",2010,"2","Percent","Students absent 20 or more days",0
"Avon","0900302060",2010,"2","Percent","Students absent 20 or more days",5.28
"Barkhamsted","0900502760",2010,"2","Percent","Students absent 20 or more days",5.56
"Beacon Falls","0900903250",2010,"2","Percent","Students absent 20 or more days",5.08
"Berlin","0900304300",2010,"2","Percent","Students absent 20 or more days",2.91
"Bethany","0900904580",2010,"2","Percent","Students absent 20 or more days",1.39
"Bethel","0900104720",2010,"2","Percent","Students absent 20 or more days",2.43
"Bethlehem","0900504930",2010,"2","Percent","Students absent 20 or more days",5.5
"Bloomfield","0900305910",2010,"2","Percent","Students absent 20 or more days",2.86
"Bolton","0901306260",2010,"2","Percent","Students absent 20 or more days",6.25
"Bozrah","0901106820",2010,"2","Percent","Students absent 20 or more days",0
"Branford","0900907310",2010,"2","Percent","Students absent 20 or more days",4.4
"Bridgeport","0900108070",2010,"2","Percent","Students absent 20 or more days",12.15
"Bridgewater","0900508210",2010,"2","Percent","Students absent 20 or more days",7.41
"Bristol","0900308490",2010,"2","Percent","Students absent 20 or more days",6.92
"Brookfield","0900108980",2010,"2","Percent","Students absent 20 or more days",2.52
"Brooklyn","0901509190",2010,"2","Percent","Students absent 20 or more days",8.82
"Burlington","0900310100",2010,"2","Percent","Students absent 20 or more days",2.81
"Canaan","0900510940",2010,"2","Percent","Students absent 20 or more days",0
"Canterbury","0901512130",2010,"2","Percent","Students absent 20 or more days",8.96
"Canton","0900312270",2010,"2","Percent","Students absent 20 or more days",7.8
"Chaplin","0901513810",2010,"2","Percent","Students absent 20 or more days",0
"Cheshire","0900914160",2010,"2","Percent","Students absent 20 or more days",3.59
"Chester","0900714300",2010,"2","Percent","Students absent 20 or more days",6.52
"Clinton","0900715350",2010,"2","Percent","Students absent 20 or more days",14.55
"Colchester","0901115910",2010,"2","Percent","Students absent 20 or more days",4.23
"Colebrook","0900516050",2010,"2","Percent","Students absent 20 or more days",0
"Columbia","0901316400",2010,"2","Percent","Students absent 20 or more days",6.67
"Cornwall","0900517240",2010,"2","Percent","Students absent 20 or more days",12.5
"Coventry","0901317800",2010,"2","Percent","Students absent 20 or more days",2.1
"Cromwell","0900718080",2010,"2","Percent","Students absent 20 or more days",4.14
"Danbury","0900118500",2010,"2","Percent","Students absent 20 or more days",3.73
"Darien","0900118850",2010,"2","Percent","Students absent 20 or more days",2.61
"Deep River","0900719130",2010,"2","Percent","Students absent 20 or more days",2.13
"Derby","0900919550",2010,"2","Percent","Students absent 20 or more days",14.85
"Durham","0900720810",2010,"2","Percent","Students absent 20 or more days",3.21
"East Granby","0900322070",2010,"2","Percent","Students absent 20 or more days",3.33
"East Haddam","0900722280",2010,"2","Percent","Students absent 20 or more days",3.7
"East Hampton","0900722490",2010,"2","Percent","Students absent 20 or more days",7.1
"East Hartford","0900322630",2010,"2","Percent","Students absent 20 or more days",12.45
"East Haven","0900922910",2010,"2","Percent","Students absent 20 or more days",10
"East Lyme","0901123400",2010,"2","Percent","Students absent 20 or more days",2.97
"East Windsor","0900324800",2010,"2","Percent","Students absent 20 or more days",3.85
"Eastford","0901521860",2010,"2","Percent","Students absent 20 or more days",0
"Easton","0900123890",2010,"2","Percent","Students absent 20 or more days",1.75
"Ellington","0901325360",2010,"2","Percent","Students absent 20 or more days",4.31
"Enfield","0900325990",2010,"2","Percent","Students absent 20 or more days",7.91
"Essex","0900726270",2010,"2","Percent","Students absent 20 or more days",2.67
"Fairfield","0900126620",2010,"2","Percent","Students absent 20 or more days",2.38
"Farmington","0900327600",2010,"2","Percent","Students absent 20 or more days",3.16
"Franklin","0901129910",2010,"2","Percent","Students absent 20 or more days",5
"Glastonbury","0900331240",2010,"2","Percent","Students absent 20 or more days",2.65
"Goshen","0900532290",2010,"2","Percent","Students absent 20 or more days",1.19
"Granby","0900332640",2010,"2","Percent","Students absent 20 or more days",4.22
"Greenwich","0900133620",2010,"2","Percent","Students absent 20 or more days",4.44
"Griswold","0901133900",2010,"2","Percent","Students absent 20 or more days",2.26
"Groton","0901134250",2010,"2","Percent","Students absent 20 or more days",7.86
"Guilford","0900934950",2010,"2","Percent","Students absent 20 or more days",3.85
"Haddam","0900735230",2010,"2","Percent","Students absent 20 or more days",5.47
"Hamden","0900935650",2010,"2","Percent","Students absent 20 or more days",4.14
"Hampton","0901536000",2010,"2","Percent","Students absent 20 or more days",0
"Hartford","0900337070",2010,"2","Percent","Students absent 20 or more days",16.94
"Hartland","0900337140",2010,"2","Percent","Students absent 20 or more days",5
"Harwinton","0900537280",2010,"2","Percent","Students absent 20 or more days",2.81
"Hebron","0901337910",2010,"2","Percent","Students absent 20 or more days",3.87
"Kent","0900540290",2010,"2","Percent","Students absent 20 or more days",6.67
"Killingly","0901540500",2010,"2","Percent","Students absent 20 or more days",9.84
"Killingworth","0900740710",2010,"2","Percent","Students absent 20 or more days",5.47
"Lebanon","0901142390",2010,"2","Percent","Students absent 20 or more days",9.52
"Ledyard","0901142600",2010,"2","Percent","Students absent 20 or more days",5.63
"Lisbon","0901143230",2010,"2","Percent","Students absent 20 or more days",2.7
"Litchfield","0900543370",2010,"2","Percent","Students absent 20 or more days",6.1
"Lyme","0901144210",2010,"2","Percent","Students absent 20 or more days",1.74
